County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes
New York,714290,Store,JAC   ,STICK WITH ME LLC                ,STICK WITH ME          ,202,MOTT ST STORE A              ,             ,               ,NEW YORK          ,NY,10012,0,"{'latitude': '40.721414', 'longitude': '-73.995534', 'human_address': '{""address"": ""202 MOTT ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10012""}'}",2095,736
New York,625539,Store,A     ,ST NEWSTAND LLC                  ,ST NEWSTAND            ,2,WEST 33RD ST                   ,             ,               ,NEW YORK          ,NY,10001,250,"{'latitude': '40.747784', 'longitude': '-73.985046', 'human_address': '{""address"": ""2 WEST 33RD ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10001""}'}",2095,717
New York,628586,Store,A     ,ST NICHOLAS AVENUE 99 CENTS CORP ,ST NICHOLAS AVE 99 CENT,1639,ST NICHOLAS AVE             ,             ,               ,NEW YORK          ,NY,10040,0,"{'latitude': '40.856061', 'longitude': '-73.928806', 'human_address': '{""address"": ""1639 ST NICHOLAS AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10040""}'}",2095,799
New York,708772,Store,JAC   ,ST NICHOLAS EXPRESS DELI CORP    ,ST NICHOLAS EXPRESS DEL,25,ST NICHOLAS TERR              ,             ,               ,NEW YORK          ,NY,10027,1200,"{'latitude': '40.813129', 'longitude': '-73.951641', 'human_address': '{""address"": ""25 ST NICHOLAS TERR"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10027""}'}",2095,754
New York,628995,Store,JAC   ,ST NICHOLAS JM DELI GROCERY INC  ,ST NICHOLAS JM DELI GRY,598,W 178TH ST                   ,             ,               ,NEW YORK          ,NY,10033,800,"{'latitude': '40.847353', 'longitude': '-73.935179', 'human_address': '{""address"": ""598 W 178TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10033""}'}",2095,792
New York,627792,Store,JAC   ,ST NICK CANDY GROCERY INC        ,ST NICK CANDY GROCERY  ,1572,ST NICHOLAS AVE             ,             ,               ,NEW YORK          ,NY,10040,300,"{'latitude': '40.854309', 'longitude': '-73.930081', 'human_address': '{""address"": ""1572 ST NICHOLAS AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10040""}'}",2095,799
New York,624671,Store,JAC   ,ST NICKS 1633 FOOD CENTER CORP   ,ST NICKS 1633 FOOD CTR ,1633,ST NICHOLAS AVE             ,             ,               ,NEW YORK          ,NY,10040,1800,"{'latitude': '40.855953', 'longitude': '-73.928883', 'human_address': '{""address"": ""1633 ST NICHOLAS AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10040""}'}",2095,799
New York,629143,Store,JAC   ,AK GOURMET MARKET CORP           ,STOP 1 DELI            ,201,MADISON ST                   ,             ,               ,NEW YORK          ,NY,10002,1500,"{'latitude': '40.712662', 'longitude': '-73.989798', 'human_address': '{""address"": ""201 MADISON ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,628825,Store,JAC   ,STOP 1 DELI&99 CENT PLUS CORP    ,STOP 1 DELI&99 CENT PLS,77,W 115TH ST                    ,             ,               ,NEW YORK          ,NY,10026,1500,"{'latitude': '40.801041', 'longitude': '-73.949472', 'human_address': '{""address"": ""77 W 115TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10026""}'}",2095,753
New York,704721,Store,JAC   ,K AND K FOOD CORP                ,STOP 1 FOOD MARKET     ,265,CHERRY ST                    ,             ,               ,NEW YORK          ,NY,10002,2000,"{'latitude': '40.711277', 'longitude': '-73.989344', 'human_address': '{""address"": ""265 CHERRY ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095,718
New York,719221,Store,JAC   ,STOP 1 KING GOURMET DELI INC     ,STOP 1 KING GOURMET DEL,1775,LEXINGTON AVENUE        ,             ,               ,NEW YORK          ,NY,10029,0,"{'latitude': '40.794905', 'longitude': '-73.944333', 'human_address': '{""address"": ""1775 LEXINGTON AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095,756
